brewery,name,color,style,alcohol_level,ibu_level,beer_country,beer_description,tag_list,photo,photo_path
Brasserie Duvel-Moortgat,Vedett Extra Ordinary IPA,Ambrée,Belgian IPA,"6,00%",40,Belgique,"Il s'agit d'une bière extraordinaire, une IPA, avec un taux d’alcool de 6% vol alc. Elle est refermentée enbouteille. Durant le processus de brassage, on utilise 100% de malt spécial. On utilise la technique du houblonnage à sec, le résultat, est une fantastique IPA, qui va être embouteillée dans une bouteille brune, pour accentuer encore plus le caractère spécial de cette bière refermentée en bouteille.","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",vedett-extra-ordinary-ipa.webp,vedett-extra-ordinary-ipa
Vivat,Vivat Ambrée Bio,Ambrée,Red Ale,"6,50%",28,France,"Nez réservé, principalement sur le malt grillé, le caramel. L’attaque en bouche est délicate, le malt reste léger, la texture, très fluide. Des saveurs grillées, de pain, et même de noisette font leur apparition. La finale est douce, presque sucrée, l’amertume est très peu marquée. Agréable ambrée à partager ! Le mot ""Vivat"" était prononcé lors des mariages flamands en signe de bon augure, au moment où quelques gouttes de bières étaient versées sur le front de la jeune mariée.","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",vivat-ambree-bio.webp,vivat-ambree-bio
NovaBirra,Acid Junk,Blanche,Sour IPA,"4,50%",10,Belgique,Acid Junk est brassée avec du malt Heidelberg allemand et un mélange de houblons aromatiques américains. L’acidité rafraîchissante et les arômes fruités de ACID JUNK en font une bière surette originale et savoureuse.,"crudité, légume, carpaccio, ceviche, crustacé, poulet, poisson, fromage frais, fruit",acid-junk.webp,acid-junk
Brasserie du Bocq,Blanche de Namur,Blanche,Witbier,"4,50%",10,Belgique,"Trouble, douce et moelleuse, la Blanche de Namur est une bière de froment de très haute qualité. Dès sa première gorgée, vous ressentirez toute sa rondeur et sa délicatesse qui en font une bière exceptionnelle.
Ses qualités et le ""savoir-faire"" de la brasserie lui ont valu la distinction de la meilleure bière blanche au monde en 2009, en 2013 et en 2014.
Un modèle du genre à la fois florale et fruitée, entre le coriandre et l'écorce d'orange. Le nez est frais, plutôt délicat. A servir fraîche, pas glacée, pour profiter des arômes et accentuer l'amertume élégante qui s'enroule autour de la bouche pendant toute la dégustation.","crudité, légume, carpaccio, ceviche, crustacé, poulet, poisson, fromage frais, fruit",blanche-de-namur.webp,blanche-de-namur
Brasserie du Borinage,Boriner Vice,Blanche,Berliner Weisse,"5,00%",7,Belgique,"La Boriner Vice est une Berliner Weisse, obtenue par la technique du sour kettle (acidification du moût dans la cuve d’ébullition). La rôbe est blonde, claire, pâle, voilée. Les arômes sont marqués par un dryhopping puissant de houblons apportant des notes d’agrumes (Mandarina bavaria) et de raisin blanc (Hallertau blanc). La bouche est comme un bonbon sûr, c’est fruité, acidulé, sec, ultra désaltérant.","crudité, légume, carpaccio, ceviche, crustacé, poulet, poisson, fromage frais, fruit",boriner-vice.webp,boriner-vice
Brasserie d'Achouffe,Chouffe Blanche,Blanche,Wheat Beer,"6,50%",18,Belgique,"Notre lutin emblématique se balade en montagne, été comme hiver. Avec son bâton et son gilet de moumoute, il grimpe régulièrement le mont Chouffe jusqu'à 6666 mètres pour humer la fraîcheur des neiges éternelles.
Arrivé au sommet, il a pour coutume de servir une Chouffe puis admirer la vue.
""Groumf, groumf ?"" un yéti au poils blancs, curieux, a cette fois-ci reconnu le bruit du service et s'approche timidement. ""Chouffe ! ... pas Groumf !"" lui répond Marcel. L'harmonie blanche de décor a inspiré Marcel pour nommer sa nouvelle bière rafraîchissante, douce et épicée : Chouffe Blanche !","crudité, légume, carpaccio, ceviche, crustacé, poulet, poisson, fromage frais, fruit",chouffe-blanche.webp,chouffe-blanche
Brussels Beer Project,Grosse Bertha,Blanche,Belgian Hefeweizen,"6,50%",20,Belgique,"La Grosse Bertha est le résultat du mélange entre les recettes d'une triple et d'une hefeiwezen. Sa levure allemande lui confère des arômes de banane et de clou de girofle.

Basée sur un mélange de malt d'orge et de blé, elle est voluptueuse à souhait. Elle vous mettra à l'aise avec sa rondeur à nulle autre pareille.","crudité, légume, carpaccio, ceviche, crustacé, poulet, poisson, fromage frais, fruit",grosse-bertha.webp,grosse-bertha
Hoegaarden,Wit-Blanche,Blanche,Witbier,"4,90%",15,Belgique,"La Hoegaarden reste une bière blanche à fermentation haute, crée par la brasserie Hoegaarden en Belgique. Très connue et appréciée au-delà des frontières de son pays d’origine, cette boisson demeure brassée avec de la coriandre et des zestes de citron. Ce qui lui donne un goût irrésistible avec une fraîcheur sans pareille.","crudité, légume, carpaccio, ceviche, crustacé, poulet, poisson, fromage frais, fruit",hoegaarden.webp,hoegaarden
Mont-Blanc,La blanche,Blanche,Witbier,"4,70%",13,France,"Des arômes épicés, de coriandre, d’agrumes et du Curaçao sont présents au nez. En bouche, léger et désaltérante. Des notes fomentées et acidulées accompagnent la dégustation, toute en fraîcheur. Une blanche à la française, qui a su se faire une place parmi les plus grandes. Le saviez-vous ? L’eau utilisée pour la fabrication de la Blanche, tire sa source dans les glaciers du Mont Blanc. Cette bière a été élue meilleure bière blanche à deux reprises, en 2013 et 2015.","crudité, légume, carpaccio, ceviche, crustacé, poulet, poisson, fromage frais, fruit",la-blanche.webp,la-blanche
Ribella,Madonna,Blanche,Witbier,"4,50%",10,France,"Cette bière immaculée comme la Madone est infusée avec de l'écorce de cédrat de Corse (Citrus medica corsicana), un gros agrume jaune qui revient en force sur la scène culinaire. L'ajout de blé malté et de coriandre permet de créer une Witbier avec un twist caractéristique parfait. Tout en finesse, fraîche et acidulée, c'est une merveille aussi délicate que l'Île de Beauté qui l'a vue naître.","crudité, légume, carpaccio, ceviche, crustacé, poulet, poisson, fromage frais, fruit",madonna.webp,madonna
Peak Beer,Peak Summer,Blanche,Pale Ale,"4,00%",24,Belgique,"La Peak Summer arrive avec les beaux jours. Bière blonde légère élaborée avec du houblon Mandarina Bavaria, du houblon Ekuanot en dry-hopping et du jus naturel de mandarine. De quoi se rafraîchir au soleil… Ou sous la pluie !","crudité, légume, carpaccio, ceviche, crustacé, poulet, poisson, fromage frais, fruit",peak-summer.webp,peak-summer
Brasserie du Borinage,Ramborinage,Blanche,Double Blanche,"7,00%",27,Belgique,"Aiguisée dans le fin fond de la jungle Boraine en combinant un savoir-faire borino-italien, la Ramborinage a spécialement été créée pour servir d'appui-feu aux troupes médicales faisant face à la pandémie de COVID-19

""Fais pas ch*er COVID... Fais pas ch*er ! Ou on va te faire une bière comme t'en as jamais bue...""

Vraie bière blanche, plus forte que la moyenne, aux notes épicées (coriandre et écorces d’orange), douce.","crudité, légume, carpaccio, ceviche, crustacé, poulet, poisson, fromage frais, fruit",ramborinage.webp,ramborinage
De l'Esterel,Riviera Blanche,Blanche,Witbier,"4,00%",13,France,"Un nez céréalier et vert, auquel un zeste acidulé tiré d’agrumes comme le citron apporte un aspect très frais à cette bière de blé. En bouche, les saveurs d’épices et de coriandre sont les premières perçues avant de laisser place aux levures et aux malts qui tapissent le palais. La douce amertume nous porte les saveurs de coriandre et de céréales jusqu’à la fin de la dégustation.","crudité, légume, carpaccio, ceviche, crustacé, poulet, poisson, fromage frais, fruit",riviera-blanche.webp,riviera-blanche
NovaBirra,Seed of the New Grace,Blanche,Hefeweizen,"5,50%",22,Belgique,"Seed of the New Grace est brassée dans le style Hefeweizen à partir de malts Wheat, Vienna et Munich. C’est une bière de type ""Blanche"" même si elle n’est pas de couleur blanche. Seed of the New Grace est infusée à froid (dry-hopping) avec du houblon alsacien Mistral. Cette bière d’inspiration allemande exprime des notes de céréales et de levure balancées par des arômes houblonnés de fleurs et d’agrumes","crudité, légume, carpaccio, ceviche, crustacé, poulet, poisson, fromage frais, fruit",seed-of-the-new-grace.webp,seed-of-the-new-grace
Brasserie du Borinage,Urine,Blanche,Double IPA,"7,00%",76,Belgique,"L’Urine est une Double IPA à la robe limpide de couleur blonde foncée. Le nez détonne par une déflagration houblonnée. Les houblons Citra et Amarillo ont été utilisés sous forme “cryo” pour apporter un profil aromatique unique sur des notes de mangue. En bouche, une belle rondeur équilibre à merveille l’amertume des houblons.","crudité, légume, carpaccio, ceviche, crustacé, poulet, poisson, fromage frais, fruit",urine.webp,urine
Brasserie Duvel-Moortgat,Vedett Extra White,Blanche,Weissbier,"4,70%",15,Belgique,"Il s'agit d'une bière à haute fermentation et refermentation en bouteille, titrant à 4,7% vol alc. C’est une bière blanche, de couleur jaune fade, non filtrée. Elle a un goût rafraîchissant, croquant avec une touche de zeste de citron, arrondi par un goût doucement amer et une arrière-bouche sèche.","crudité, légume, carpaccio, ceviche, crustacé, poulet, poisson, fromage frais, fruit",vedett-extra-white.webp,vedett-extra-white
Brasserie de Jandrain-Jandrenouille,VI Wheat,Blanche,Witbier,"6,00%",31,Belgique,Véritable Wheat Ale au caractère houblonné et au nez fruité et herbacé. La VI Wheat est une petite pépite de la brasserie artisanale Jandrain-Jandrenouille dont les installations sont situées dans les murs d'une ancienne ferme. Véritable démonstration du savoir-faire traditionnel belge remis au goût du jour avec des houblons plus aromatiques. Bière très rafraîchissante à la saveur de blé.,"crudité, légume, carpaccio, ceviche, crustacé, poulet, poisson, fromage frais, fruit",VI-wheat.webp,VI-wheat
Brussels Beer Project,Wunder Lager,Blanche,Hoppy Lager,"3,80%",24,Belgique,"Wunder Lager, c'est notre cinquième élément, l'harmonie parfaite du goût avec un faible taux d'alcool ! C'est aussi notre première lager, on en est super fiers !","crudité, légume, carpaccio, ceviche, crustacé, poulet, poisson, fromage frais, fruit",wunder-lager.webp,wunder-lager
De Malt et d'Ô,08 Blonde,Blonde,Pale Ale,"4,50%",13,France,"Cette blonde nous propose un nez céréalier et très levuré dès les premières notes. Une fois sur le palais, les saveurs commencent à s’exprimer avec plus de force. Les fruits jaunes, notamment, se font connaître. La pêche se mêle à des notes de melon ; et portées par une légère amertume, elles conduisent à une fin de dégustation douce et quelque peu épicée.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",08-blonde.webp,08-blonde
Brasserie Lefebvre,Barbãr,Blonde,Strong Pale Ale,"7,80%",28,Belgique,"La Barbãr est née d’un mélange réussi entre la finesse de l’orge, la douceur du miel et l’amertume du houblon. Vous serez séduit par ses arômes des plus délicats.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",barbar.webp,barbar
Des Sources,Bellerose IPA,Blonde,IPA,"6,50%",52,France,"Dans la gamme de bières Bellerose, donnez-moi l'IPA ! Toujours habillée de sa légendaire pin-up, l'India Pale Ale de la brasserie des Sources offre un profil aromatique puissant et fruité, qui rappellera légèrement sa cousine la Bellerose Blonde. Les agrumes et le litchi dominent la dégustation.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",bellerose-ipa.webp,bellerose-ipa
Des Sources,Bellerose,Blonde,Bière de garde,"6,50%",29,France,"De jolis arômes de céréales se révèlent au nez, accompagnés de pointes finement épicées et houblonnées. A noter également, la présence discrète d’arômes agrumés pour compléter le tableau. En bouche, c’est plutôt rond voire légèrement sucré, et contrebalancé par de solides pointes d’amertume. L’équilibre est là, pas de doute. Les saveurs céréalières sont toujours de la partie et apporte un joli corps lors de la dégustation. La finale est assez longue, simple et légèrement amère. Une belle réussite que cette artisanale française ! Elle sera délicieuse en accords mets-bières avec un tajine, du saumon grillé ou une tarte citron meringuée.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",bellerose.webp,bellerose
Brasserie-Ferme de Bertinchamps,Bertinchamps Blond,Blonde,Strong Ale,"6,20%",20,Belgique,"Nez floral de paille fraîchement coupée, arôme de céréale grillée et petite note poivrée.
Bière bien équilibrée avec une belle amertume en fin de palais.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",bertinchamps-blonde.webp,bertinchamps-blonde
Brasserie des Légendes,Bière des amis,Blonde,Non-Alcoholic,"0,00%",25,Belgique,"La particularité de notre méthode de désalcoolisation?
Une faible pression sous vide exercée sur notre bière permet l’évaporation de l’alcool à très basse température (30° max). Ceci évite la perte des arômes volatils et garantit le maintien des qualités organoleptiques de notre Bière des Amis d’origine. L’essentiel de ses caractéristiques gustatives et aromatiques sont ainsi préservées.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",biere-des-amis-0.webp,biere-des-amis-0
Brasserie des Légendes,Bière des amis,Blonde,Pale Ale,"5,80%",21,Belgique,"Qu’importe l’heure, qu’importe l’endroit, il y a toujours une bonne occasion de prendre le temps de partager une bière entre amis. Ces moments de retrouvaille, sans prise de tête, autour d’une bonne bière agrémentée de quelques histoires du passé ou de projets futurs, font partie des choses simples qui comptent le plus…","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",biere-des-amis.webp,biere-des-amis
Brasserie Dubuisson,Bush Triple,Blonde,Triple,"10,50%",21,Belgique,"Bière de haute fermentation, filtrée, elle bénéficie notamment du même savoir-faire et des mêmes levures que les autres bières de la Brasserie Dubuisson. L’utilisation de malts traditionnels associée à l’emploi exclusif du fameux houblon de Saaz lui procure une robe claire ainsi qu’une palette de saveurs subtiles et d’arômes typés et équilibrés. Une fermentation prolongée lui confère un taux d’alcool de 10,5% et une digestibilité exceptionnelle.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",bush-triple.webp,bush-triple
Brasserie Cantillon,Gueuze 100% Lambic Bio,Blonde,Lambic,"5,50%",30,Belgique,"Les Lambics de la Brasserie Cantillon sont appelés ""jeunes"" après un an de vieillissement et atteignent leur pleine maturité après trois ans. Les jeunes bières contiennent les sucres naturels nécessaires à la seconde fermentation en bouteille. Les bières de trois ans apportent quant à elles leur bouquet et leur finesse.

La Gueuze est le fruit d’un mélange complexe de Lambics de goûts et d’âges différents, conservés en fûts de chêne. Le rôle le plus important du brasseur est gustatif. Il devra goûter une dizaine de Lambics provenant de tonneaux différents pour finalement en sélectionner cinq ou six. C’est ainsi que se confectionne la Gueuze 100% Lambic, porteuse du caractère original des bières de la Brasserie Cantillon. Chaque cuve d’assemblage donnera naissance à une Gueuze différente. Les éléments naturels dont nous disposons ne nous permettent pas la fabrication d’un produit ""standard"".","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",cantillon-gueuze.webp,cantillon-gueuze
